Id,Label,Continent
Afghanistan,Afghanistan,ASIA
Albania,Albania,EUROPE
Algeria,Algeria,AFRICA
AmericanSamoa,American Samoa,OCEANIA
Andorra,Andorra,EUROPE
Angola,Angola,AFRICA
Anguilla,Anguilla,LATIN AMERICA AND THE CARIBBEAN
AntiguaandBarbuda,Antigua and Barbuda,LATIN AMERICA AND THE CARIBBEAN
Argentina,Argentina,LATIN AMERICA AND THE CARIBBEAN
Armenia,Armenia,ASIA
Aruba,Aruba,LATIN AMERICA AND THE CARIBBEAN
Australia,Australia,OCEANIA
Austria,Austria,EUROPE
Azerbaijan,Azerbaijan,ASIA
Bahamas,Bahamas,LATIN AMERICA AND THE CARIBBEAN
Bahrain,Bahrain,ASIA
Bangladesh,Bangladesh,ASIA
Barbados,Barbados,LATIN AMERICA AND THE CARIBBEAN
Belarus,Belarus,EUROPE
Belgium,Belgium,EUROPE
Belize,Belize,LATIN AMERICA AND THE CARIBBEAN
Benin,Benin,AFRICA
Bermuda,Bermuda,NORTHERN AMERICA
Bhutan,Bhutan,ASIA
Bolivia(PlurinationalStateof),Bolivia (Plurinational State of),LATIN AMERICA AND THE CARIBBEAN
BosniaandHerzegovina,Bosnia and Herzegovina,EUROPE
Botswana,Botswana,AFRICA
Brazil,Brazil,LATIN AMERICA AND THE CARIBBEAN
BritishVirginIslands,British Virgin Islands,LATIN AMERICA AND THE CARIBBEAN
BruneiDarussalam,Brunei Darussalam,ASIA
Bulgaria,Bulgaria,EUROPE
BurkinaFaso,Burkina Faso,AFRICA
Burundi,Burundi,AFRICA
Cambodia,Cambodia,ASIA
Cameroon,Cameroon,AFRICA
Canada,Canada,NORTHERN AMERICA
CapeVerde,Cape Verde,AFRICA
CaribbeanNetherlands,Caribbean Netherlands,LATIN AMERICA AND THE CARIBBEAN
CaymanIslands,Cayman Islands,LATIN AMERICA AND THE CARIBBEAN
CentralAfricanRepublic,Central African Republic,AFRICA
Chad,Chad,AFRICA
ChannelIslands,Channel Islands,EUROPE
Chile,Chile,LATIN AMERICA AND THE CARIBBEAN
China,China,ASIA
China-HongKongSpecialAdministrativeRegion,"China, Hong Kong Special Administrative Region",ASIA
China-MacaoSpecialAdministrativeRegion,"China, Macao Special Administrative Region",ASIA
Colombia,Colombia,LATIN AMERICA AND THE CARIBBEAN
Comoros,Comoros,AFRICA
Congo,Congo,AFRICA
CookIslands,Cook Islands,OCEANIA
CostaRica,Costa Rica,LATIN AMERICA AND THE CARIBBEAN
Côted'Ivoire,Côte d'Ivoire,AFRICA
Croatia,Croatia,EUROPE
Cuba,Cuba,LATIN AMERICA AND THE CARIBBEAN
Curaçao,Curaçao,LATIN AMERICA AND THE CARIBBEAN
Cyprus,Cyprus,ASIA
CzechRepublic,Czech Republic,EUROPE
DemocraticPeople'sRepublicofKorea,Democratic People's Republic of Korea,ASIA
DemocraticRepublicoftheCongo,Democratic Republic of the Congo,AFRICA
Denmark,Denmark,EUROPE
Djibouti,Djibouti,AFRICA
Dominica,Dominica,LATIN AMERICA AND THE CARIBBEAN
DominicanRepublic,Dominican Republic,LATIN AMERICA AND THE CARIBBEAN
Ecuador,Ecuador,LATIN AMERICA AND THE CARIBBEAN
Egypt,Egypt,AFRICA
ElSalvador,El Salvador,LATIN AMERICA AND THE CARIBBEAN
EquatorialGuinea,Equatorial Guinea,AFRICA
Eritrea,Eritrea,AFRICA
Estonia,Estonia,EUROPE
Ethiopia,Ethiopia,AFRICA
FaeroeIslands,Faeroe Islands,EUROPE
FalklandIslands(Malvinas),Falkland Islands (Malvinas),LATIN AMERICA AND THE CARIBBEAN
Fiji,Fiji,OCEANIA
Finland,Finland,EUROPE
France,France,EUROPE
FrenchGuiana,French Guiana,LATIN AMERICA AND THE CARIBBEAN
FrenchPolynesia,French Polynesia,OCEANIA
Gabon,Gabon,AFRICA
Gambia,Gambia,AFRICA
Georgia,Georgia,ASIA
Germany,Germany,EUROPE
Ghana,Ghana,AFRICA
Gibraltar,Gibraltar,EUROPE
Greece,Greece,EUROPE
Greenland,Greenland,NORTHERN AMERICA
Grenada,Grenada,LATIN AMERICA AND THE CARIBBEAN
Guadeloupe,Guadeloupe,LATIN AMERICA AND THE CARIBBEAN
Guam,Guam,OCEANIA
Guatemala,Guatemala,LATIN AMERICA AND THE CARIBBEAN
Guinea,Guinea,AFRICA
Guinea-Bissau,Guinea-Bissau,AFRICA
Guyana,Guyana,LATIN AMERICA AND THE CARIBBEAN
Haiti,Haiti,LATIN AMERICA AND THE CARIBBEAN
HolySee,Holy See,EUROPE
Honduras,Honduras,LATIN AMERICA AND THE CARIBBEAN
Hungary,Hungary,EUROPE
Iceland,Iceland,EUROPE
India,India,ASIA
Indonesia,Indonesia,ASIA
Iran(IslamicRepublicof),Iran (Islamic Republic of),ASIA
Iraq,Iraq,ASIA
Ireland,Ireland,EUROPE
IsleofMan,Isle of Man,EUROPE
Israel,Israel,ASIA
Italy,Italy,EUROPE
Jamaica,Jamaica,LATIN AMERICA AND THE CARIBBEAN
Japan,Japan,ASIA
Jordan,Jordan,ASIA
Kazakhstan,Kazakhstan,ASIA
Kenya,Kenya,AFRICA
Kiribati,Kiribati,OCEANIA
Kuwait,Kuwait,ASIA
